aether 2.13.3-1
noto-fonts-emoji 1:2.051-1
noto-fonts-extra 1:2025.11.01-1
nss-mdns 0.15.1-2
nvidia-open-dkms 580.95.05-1
nvidia-utils 580.95.05-1
nwg-displays 0.3.26-1
obs-studio 32.0.1-2
omarchy-keyring 20251027-1
omarchy-nvim 2025.10.28-1
omarchy-walker 1.0.0-2
opencl-mesa 1:25.2.6-1
pamixer 1.6-3
pinta 3.0.4-1
pipewire 1:1.4.9-1
pipewire-alsa 1:1.4.9-1
pipewire-jack 1:1.4.9-1
pipewire-pulse 1:1.4.9-1
playerctl 2.4.1-4
plocate 1.1.23-1
plymouth 24.004.60-14
polkit-gnome 0.105-11
postgresql-libs 18.0-1
power-profiles-daemon 0.30-1
protonplus 0.5.13-1
protontricks 1.13.0-3
python-gobject 3.54.5-1
python-poetry-core 2.2.1-1
python-terminaltexteffects 0.12.2-1
qbittorrent 5.1.2-2
qt5-wayland 5.15.18+kde+r55-1
qt6-wayland 6.10.0-1
ripgrep 15.1.0-1
rust 1:1.91.0-1
satty 0.20.0-1
sddm 0.21.0-6
slurp 1.5.0-1
snapper 0.13.0-2
sof-firmware 2025.05.1-1
spotify 1:1.2.74.477-2
starship 1.24.0-1
steam 1.0.0.85-1
sushi 46.0-2
swaybg 1.2.1-1
swayosd 0.2.1-2
system-config-printer 1.5.18-5
tldr 3.4.3-2
tree-sitter-cli 0.25.10-1
ttf-cascadia-mono-nerd 3.4.0-1
ttf-ia-writer 20181225-1
ttf-jetbrains-mono-nerd 3.4.0-1
tzupdate 3.1.0-1
ufw 0.36.2-5
ufw-docker 250710-1
umu-launcher 1.2.9-1
unzip 6.0-23
uwsm 0.24.2-1
vesktop-bin 1.6.1-1
vlc 3.0.21-31
vlc-plugins-all 3.0.21-31
vulkan-intel 1:25.2.6-1
vulkan-radeon 1:25.2.6-1
vulkan-tools 1.4.328.1-1
walker 2.8.2-2
waybar 0.14.0-4
wayfreeze 0.1.0-1
whois 5.6.5-1
wine 10.18-1
winetricks 20250102-1
wireless-regdb 2025.10.07-1
wiremix 0.7.0-1
wireplumber 0.5.12-1
wl-clipboard 1:2.2.1-3
woff2-font-awesome 7.1.0-1
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland 1.3.11-1
xdg-terminal-exec 0.13.2-1
xf86-video-amdgpu 25.0.0-1
xmlstarlet 1.6.1-6
yaru-icon-theme 25.10.2-1
yay 12.5.2-2
zapzap 6.2.3.1-1
zenity 4.2.0-1
zoxide 0.9.8-2
zram-generator 1.2.1-1
